Discord URL,Timestamp,Author ID,Channel,Guild ID,Message ID,Serial Number,Box Coordinates,Box Cat IDs,Label Author,Comments
https://cdn.discordapp.com/attachments/551084964318543904/1343086338626555975/PXL_20250223_050505773.jpg?ex=67bbfe20&is=67baaca0&hm=7ce67d8c82479bb2614f28051dd545a51fee07a226b1c62dad10763bda270dfe&,2025-02-23T05:05:36.516Z,342386549532524544,551084964318543904,551082419768393729,1343086338836008960,sn0001,0.464286 0.425595 0.776896 0.747520,Twix,,"Scroll down, I shrunk all the other rows to make this easy to get to the bottom. You could also just do ctrl and the down arrow."
https://cdn.discordapp.com/attachments/551084964318543904/1343294919183306872/IMG_2417.jpg?ex=67bcc061&is=67bb6ee1&hm=91fe5c0633bed069c3fd131e8fc0e4ada560d28a16e0f07cd5319eaad5af55b9&,2025-02-23T18:54:27.245Z,972653971728633896,551084964318543904,551082419768393729,1343294924631834626,sn0002,0.410053 0.394345 0.158730 0.114087,Scraggle,,
https://cdn.discordapp.com/attachments/551084964318543904/1343362036758876282/IMG_5264.jpg?ex=67bcfee4&is=67bbad64&hm=377a97ac2258a1fabe79d719841ee085ee584eae4eca85778c28af8121bda142&,2025-02-23T23:21:08.106Z,624440365595754496,551084964318543904,551082419768393729,1343362037106872342,sn0004,0.469866 0.555721 0.121776 0.114087,Twix,,
https://cdn.discordapp.com/attachments/551084964318543904/1343362480772223096/IMG_1348.jpg?ex=67bcff4d&is=67bbadcd&hm=48287bb177f09a03bc3878110b58c3f2fa3cebfed5c8f10753a60d5d90987a48&,2025-02-23T23:22:53.936Z,724386309610930236,551084964318543904,551082419768393729,1343362480990195825,sn0005,0.486442 0.355779 0.516534 0.711558,Twix,,
https://cdn.discordapp.com/attachments/551084964318543904/1343362657385713704/IMG_5268.jpg?ex=67bcff77&is=67bbadf7&hm=401d8e459c3c5158f7f6ca57237dc4aec704856dbb4cf37632ed9505b174f5da&,2025-02-23T23:23:36.079Z,624440365595754496,551084964318543904,551082419768393729,1343362657750749255,sn0006,0.746218 0.525050 0.507564 0.855655,Twix,,
https://cdn.discordapp.com/attachments/551084964318543904/1343363024962191370/IMG_5272.jpg?ex=67bcffcf&is=67bbae4f&hm=bd37d3f00b065adcff68fd23f2bee447f926d40bbbb7f68548bb3ef394e27147&,2025-02-23T23:25:03.632Z,624440365595754496,551084964318543904,551082419768393729,1343363024974512150,sn0007,0.444444 0.648189 0.888889 0.703125,Twix,,
https://cdn.discordapp.com/attachments/551084964318543904/1343363044935471254/IMG_5274.jpg?ex=67bcffd4&is=67bbae54&hm=d0518fbf5078974211a80d25214662695ac0d4e74abe9b54d96a7f15f4ed4c11&,2025-02-23T23:25:08.453Z,624440365595754496,551084964318543904,551082419768393729,1343363045195513896,sn0008,0.378142 0.588914 0.756283 0.822173,Twix,,
https://cdn.discordapp.com/attachments/551084964318543904/1343364492582719549/IMG_5277.jpg?ex=67bd012d&is=67bbafad&hm=8b71ba85e9ac13cb201966c7cbea61e9252f217ad22382e83d380211390d5f0b&,2025-02-23T23:30:53.610Z,624440365595754496,551084964318543904,551082419768393729,1343364492888637591,sn0009,0.451554 0.495288 0.129299 0.086310|0.513062 0.478423 0.073743 0.049603,Eraser|Eggs,,
https://cdn.discordapp.com/attachments/551084964318543904/1343364563445350541/IMG_5283.jpg?ex=67bd013e&is=67bbafbe&hm=856500d9c2fa0671383e09edd5397d406681e19bb3af5715a848cacaf0cb68d3&,2025-02-23T23:31:10.693Z,624440365595754496,551084964318543904,551082419768393729,1343364564539936778,sn0010,0.608466 0.399430 0.406085 0.225446,Eraser,,
https://cdn.discordapp.com/attachments/551084964318543904/1343366390295302154/IMG_5286.jpg?ex=67bd02f1&is=67bbb171&hm=1b2efbd53531e0492f33b62f620910faa7c3957b9ae34b32bb4209676f896067&,2025-02-23T23:38:25.962Z,624440365595754496,551084964318543904,551082419768393729,1343366390190575638,sn0011,Rejected,,,
https://cdn.discordapp.com/attachments/551084964318543904/1343372430764146780/IMG_20250223_180154242_HDR.jpg?ex=67bd0892&is=67bbb712&hm=f6b05e8d3632d48310b8ac1724b84b6675683f395244fe01b4d39a6d4fbd8e77&,2025-02-24T00:02:26.193Z,833159536264216627,551084964318543904,551082419768393729,1343372430957088790,sn0012,0.484171 0.716988 0.904208 0.541820,Microwave,,
https://cdn.discordapp.com/attachments/551084964318543904/1343394238494277642/IMG_3198.jpg?ex=67bd1ce1&is=67bbcb61&hm=5e1e0794e325f0df64b5f0d113e6a122c77f89c04c2fa04a46b3f527c5f1765f&,2025-02-24T01:29:05.607Z,429741733706989568,551084964318543904,551082419768393729,1343394238880157831,sn0013,0.561343 0.477183 0.727844 0.341270,Twix,,
https://cdn.discordapp.com/attachments/551084964318543904/1343598677381353472/IMG_3657.jpg?ex=67bddb47&is=67bc89c7&hm=f1e73233fadb7f7c76d931931ec8c8ed77b39a532bbe6ae3a460779437064713&,2025-02-24T15:01:27.536Z,751926923583553656,551084964318543904,551082419768393729,1343598677348057119,sn0014,0.560847 0.447297 0.877646 0.586062,Twix,,
https://cdn.discordapp.com/attachments/551084964318543904/1343599269021745172/IMG_3660.jpg?ex=67bddbd4&is=67bc8a54&hm=5d63636f5d69502e07c871a675fffd6c8df487ebcd9f4a0319242af147e47170&,2025-02-24T15:03:48.638Z,751926923583553656,551084964318543904,551082419768393729,1343599269172477984,sn0015,0.341931 0.485491 0.683862 0.561756,Twix,,
https://cdn.discordapp.com/attachments/551084964318543904/1343614718526357604/IMG_4807.jpg?ex=67bdea38&is=67bc98b8&hm=3f80cac5c2f8270543724ca9daa5e7544cb8540dcb1c7a8960334d887d143c96&,2025-02-24T16:05:12.157Z,528421517592363008,551084964318543904,551082419768393729,1343614718971084830,sn0016,0.474206 0.481812 0.565476 0.581349,Microwave,,
